id;url;status;error_message;crawled_at
1;https://overdue-monocle.com.vn;NEW;during woot fooey;2025-11-08T19:02:26
2;https://ragged-elevator.net/;ERROR;before dense mash;2025-11-08T17:02:49
3;https://respectful-beret.com.vn;SKIPPED;fortunately;2025-11-08T13:23:28
4;https://direct-cricket.net;ERROR;quicker;2025-11-09T09:53:51
5;https://honored-convection.info;PUSHED_QUEUE;er almost;2025-11-09T10:53:29
6;https://crooked-phrase.com/;PUSHED_QUEUE;who considering;2025-11-08T19:48:51
7;https://sorrowful-provider.info/;ERROR;victorious;2025-11-08T13:28:08
8;https://spirited-atrium.net;ERROR;fooey;2025-11-09T01:36:38
9;https://vain-quinoa.com;ERROR;sediment;2025-11-09T10:05:35
10;https://self-reliant-gazebo.com;NEW;liberalize;2025-11-08T19:33:48
